date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:26	20224/20224	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:37:00%20GMT	https://presaletokenconfirmation.com/assets/js/magnific-popup.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/magnific-popup.min.js	(from https://presaletokenconfirmation.com/)
07:58:27	9034/9034	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2009:03:46%20GMT	https://presaletokenconfirmation.com/assets/js/waypoints.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/waypoints.min.js	(from https://presaletokenconfirmation.com/)
07:58:27	6682/6682	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2025%20Apr%202020%2018:52:56%20GMT	https://presaletokenconfirmation.com/assets/js/parallax.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/parallax.js	(from https://presaletokenconfirmation.com/)
07:58:29	5360/5360	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:37:02%20GMT	https://presaletokenconfirmation.com/assets/js/jquery.countdown.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/jquery.countdown.min.js	(from https://presaletokenconfirmation.com/)
07:58:29	23372/23372	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:36:58%20GMT	https://presaletokenconfirmation.com/assets/js/particles.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/particles.min.js	(from https://presaletokenconfirmation.com/)
07:58:30	17972/17972	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:37:02%20GMT	https://presaletokenconfirmation.com/assets/js/jquery.dd.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/jquery.dd.min.js	(from https://presaletokenconfirmation.com/)
07:58:33	1074/1074	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:37:00%20GMT	https://presaletokenconfirmation.com/assets/js/jquery.counterup.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/jquery.counterup.min.js	(from https://presaletokenconfirmation.com/)
07:58:34	2242/2242	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:36:58%20GMT	https://presaletokenconfirmation.com/assets/js/modern_canvas.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/modern_canvas.js	(from https://presaletokenconfirmation.com/)
07:58:36	2961/2961	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2015:36:56%20GMT	https://presaletokenconfirmation.com/assets/js/spop.min.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/spop.min.js	(from https://presaletokenconfirmation.com/)
07:58:37	1218/1218	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Nov%202021%2000:06:52%20GMT	https://presaletokenconfirmation.com/assets/js/notification.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/notification.js	(from https://presaletokenconfirmation.com/)
07:58:38	16220/16220	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2009:09:40%20GMT	https://presaletokenconfirmation.com/assets/js/scripts.js	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/js/scripts.js	(from https://presaletokenconfirmation.com/)
07:58:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Aug%202018%2015:35:12%20GMT	https://presaletokenconfirmation.com/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/fontawesome-webfont3e6e.eot	(from https://presaletokenconfirmation.com/assets/css/font-awesome.min.css)
07:58:49	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Aug%202018%2015:35:12%20GMT	https://presaletokenconfirmation.com/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/fontawesome-webfontd41d.eot	(from https://presaletokenconfirmation.com/assets/css/font-awesome.min.css)
07:58:51	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2030%20Aug%202018%2015:35:04%20GMT	https://presaletokenconfirmation.com/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://presaletokenconfirmation.com/assets/css/font-awesome.min.css)
07:58:56	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2030%20Aug%202018%2015:35:06%20GMT	https://presaletokenconfirmation.com/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/fontawesome-webfont3e6e.woff	(from https://presaletokenconfirmation.com/assets/css/font-awesome.min.css)
07:59:02	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2030%20Aug%202018%2015:35:06%20GMT	https://presaletokenconfirmation.com/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://presaletokenconfirmation.com/assets/css/font-awesome.min.css)
07:59:05	447050/447050	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Aug%202018%2015:35:08%20GMT	https://presaletokenconfirmation.com/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/fontawesome-webfont3e6e.svg	(from https://presaletokenconfirmation.com/assets/css/font-awesome.min.css)
